(agens 2* (bhp) [bhp] | );105371
(bas 6* (por) [por] | );240148
(byt 1* (umy) [umy] | );304
(byt 2 (st) [st] | istnienie 2 (st), egzystencja 1* (st), istność 2* (st));305
(byt 3* (bhp) [bhp] | );103152
(byt o charakterze abstrakcyjnym 1* (bhp) [bhp] | );225142
(byt o charakterze fizykalnym 1* (bhp) [bhp] | );103153
(byt o charakterze fizykalnym, rozciągły, którego elementy nie tworzą zwartej całośc i - zarazem - nie są nieodróżnialne od siebie, np. obszar 1* (bhp) [bhp] | );103157
(całość 2* (grp) [grp] | ogół 2 (grp));2129
(cel 5* (rz) [rz] | );5499
(celowość 2* (umy) [umy] | );234407
(ciąg 4* (czas) [czas] | pasmo 4* (czas));247194
(czasoprzestrzeń 1* (bhp) [bhp] | );18633
(część 3* (grp) [grp] | );104936
(czyn 1* (czy) [czy] | działanie 13* (czy), uczynek 1* (czy), postępek 2* (czy), akt 3* (czy));50840
(doświadczenie 6* (zdarz) [zdarz] | );249102
(faza stała 1* (sbst) [sbst] | );58489
(GERUNDIUM 1* (bhp) [bhp] | );102594
(grupa obiektów 1* (bhp) [bhp] | );103164
(ilość 1 (il) [il] | );1078
(istota 1 (os) [os] | );1027
(kult 2 (umy) [umy] | latria 1* (umy));2889
(model 5* (umy) [umy] | wzór 1 (umy), wzorzec 1* (umy), paradygmat 1* (umy), modła 1* (umy));3245
(nagłówek 1* (por) [por] | tytuł 3 (por));3552
(niewyrazistość 1* (cech) [cech] | nieokreśloność 3* (cech));246451
(obiekt 2* (rz) [rz] | );234224
(obiekt astronomiczny 1* (bhp) [bhp] | );103158
(obiekt fizykalny, który ma wyraźne granice, ma powierzchnię boczną 1* (bhp) [bhp] | );103887
(obiekt geograficzny 1* (msc) [msc] | );225102
(obszar wodny 1* (msc) [msc] | );225103
(obszar wody płynącej 1* (zj) [zj] | );225100
(obszar wody słodkiej 1* (zj) [zj] | );225099
(obszar wody słonej 1* (msc) [msc] | );225134
(opisowość 1* (cech) [cech] | );245291
(otwór 2* (wytw) [wytw] | dziura 2* (wytw), dziurka 1* (wytw), otworek 1* (wytw));7268
(parametr 3* (il) [il] | );239401
(podmiot 3* (bhp) [bhp] | );228023
(powierzchnia 4* (rz) [rz] | );46651
(prawo 3 (umy) [umy] | legitymacja 3* (umy), uprawnienie 3 (umy));1311
(proces o charakterze fizykalnym 1* (bhp) [bhp] | );103154
(Proces o charakterze fizykalnym i intencjonalnym 1* (bhp) [bhp] | );105003
(proces o charakterze fizykalnym polegający na ruchu 1* (bhp) [bhp] | );105004
(przedmiot 4* (rz) [rz] | obiekt 4 (rz), cel 4* (rz));5508
(przekaz 1* (czy) [czy] | );16862
(przestrzeń 2* (rz) [rz] | rozległość 1* (msc), powierzchnia 1 (msc));5424
(ruch 2* (st) [st] | );4666
(rzecz 2* (zwz) [zwz] | );103550
(siła nabywcza 1* (il) [il] | );78039
(sposób 1* (cel) [cel] | );5509
(stan 3 (st) [st] | );3243
(stosunek prawny 1* (zwz) [zwz] | );16753
(symboliczność 1* (cech) [cech] | );245515
(środek 5* (rz) [rz] | );28294
(tematyka 1* (umy) [umy] | );247985
(zachowanie 9* (zj) [zj] | );229021
(zależność 4* (st) [st] | );4659
(zbiór obiektów - kolekcja elementów 1* (bhp) [bhp] | );103163
(zdolność 2* (st) [st] | potencjał 1* (st), możliwość 1 (st));36108
(Zmiana charakterystyki ilościowej subiektu 1* (bhp) [bhp] | );105002
(Zmiana charakterystyki subiektu (zmiana wewnętrzna) 1* (bhp) [bhp] | );105001
(znaczenie 8* (umy) [umy] | treść 1* (por), sens 2* (por));7038
